courseName,img_url,courseInfo
Python爬虫项目班,https://www.julyedu.com/Public/Image/ffecbd6b20.jpg,开班时间：8次直播课已上完，现在报名看视频
自然语言处理班 [16年TOP10之一，非VIP课程],https://www.julyedu.com/Public/Image/7629a96f3f.jpg,开班时间：8次直播课已上完，现在报名看视频
深度学习项目班,https://www.julyedu.com/Public/Image/2e4915a09f.jpg,开班时间：开班时间待定，后续报名
11 月深度学习班 [16全年度最爆款课程TOP 1],https://www.julyedu.com/Public/Image/1aaa5f2867.jpg,开班时间：10次直播课已上完，现在购买看视频
"机器学习项目班 [10次纯项目讲解, 100%纯实战]",https://www.julyedu.com/Public/Image/a0ba542048.jpg,开班时间：6.3日开课，每周六、周日上午10~12点上课
10 月机器学习算法班 [王牌课程 八大升级],https://www.julyedu.com/Public/Image/f3ba06be06.jpg,开班时间：20次直播课已上完，现在报名看视频
机器学习与量化交易项目班,https://www.julyedu.com/Public/Image/efa0cad9a5.jpg,开班时间：10次直播课已上完，现在购买看视频
Spark机器学习班,https://www.julyedu.com/Public/Image/1355a9c5a5.jpg,开班时间：开班时间待定
计算机视觉班 [从CV基础到深度学习实战],https://www.julyedu.com/Public/Image/5771ef07ac.jpg,开班时间：10次直播课已上完，现在购买看视频
Python数据分析班 [超1300人报名，人数TOP 1],https://www.julyedu.com/Public/Image/dae226ae8e.jpg,开班时间：10次直播课已上完，现在购买看视频
8月面试求职班 [超1200人报名，性价比最高],https://www.julyedu.com/Public/Image/b544e4296f.jpg,开班时间：直播已结束，现在买看视频
机器学习中的数学班,https://www.julyedu.com/Public/Image/84697a0067.jpg,开班时间：10次直播课已上完，现在购买看视频
6 月数据挖掘班 [干货满满、口碑极佳],https://www.julyedu.com/Public/Image/571edf8a88e02.jpg,开班时间：10次直播课已上完，现在购买看视频
机器学习应用班 [经典10节课，目前特价199],https://www.julyedu.com/Public/Image/572c6cbbee386.jpg,开班时间：10次直播课已上完，现在购买看视频
5 月深度学习班 [国内第1个DL商业课程],https://www.julyedu.com/Public/Image/573ae1a03c7c0.jpg,开班时间：10次直播课已上完，目前报名看视频
3 月面试求职班,https://www.julyedu.com/Public/Image/56dfc645f0e63.png,开班时间：3月8日[ 二、四、六晚上8~10点，3/12暂停一次]
4 月机器学习算法班 [上半年最火课程TOP 1],https://www.julyedu.com/Public/Image/5707cde450dcc.jpg,开班时间：直播已结束，现在购买看视频，干货极多
12月机器学习在线班,https://www.julyedu.com/Public/Image/56dfc64e99754.png,开班时间：2016.1.2 19:00第一次课 [2.6/7，2.13/14 停课]
11月算法基础班,https://www.julyedu.com/Public/Image/56dfc659b63c2.png,开班时间：10次直播课已上完，现在购买看视频
10月算法在线班,https://www.julyedu.com/Public/Image/563b111adff94.jpg,开班时间：2015年10月17日 下午2点
9月机器学习在线班 [含实践],https://www.julyedu.com/Public/Image/563b1222976f9.jpg,开班时间：2015年10月11日 晚上7点
8月面试求职班,https://www.julyedu.com/Public/Image/559bdf447bf45.jpg,开班时间：2015年7月25日 上午10点
7月算法基础班,https://www.julyedu.com/Public/Image/554f2a44f20b7.jpg,开班时间：2015年7月11日 下午2点
5月算法在线班,https://www.julyedu.com/Public/Image/570dcc12c7c7f.jpg,开班时间：2015年5月23日 上午10点
6月机器学习在线班,https://www.julyedu.com/Public/Image/563b10f380efd.jpg,开班时间：2015年6月27日 晚上7点
北京算法班·秋季班,https://www.julyedu.com/Public/Image/563b118b27d72.jpg,开班时间：2014年9月13日
北京7月暑假班,https://www.julyedu.com/Public/Image/5668174244fdd.jpg,开班时间：2014年7月19日
上海算法班·周六班,https://www.julyedu.com/Public/Image/563b1181cb768.jpg,开班时间：2014年5月17日
北京算法班·周六班,https://www.julyedu.com/Public/Image/563b1165d2d30.jpg,开班时间：2014年4月26日
北京算法班·周日班,https://www.julyedu.com/Public/Image/563b1175a7e62.jpg,开班时间：2014年4月13日
3月机器学习在线班,https://www.julyedu.com/Public/Image/56ea2ad4c2596.png,开班时间：2015年3月7日 晚上7点
北京10月机器学习线下班,https://www.julyedu.com/Public/Image/5668173685067.jpg,开班时间：2014年10月18日
4月算法在线班,https://www.julyedu.com/Public/Image/563b107c5eb3d.jpg,开班时间：2015年4月7日 晚上8点
