comment,star,people,useful_num,no_help_num,comment_page_url,title,people_url
,力荐,JoiceW,有用 17,没用 0,https://movie.douban.com/review/8190578/,一部好具有普及意义的石油钻井纪录片,https://www.douban.com/people/146805656/
"
        一直对这部电影的中文译名搞不明白，明明是讲述钻井平台事故的灾难片，却起了一个《深海浩劫》，跟当年《惊爆海底城》一样，不知道的还以为是讲述水下的故事。其实电影的片名叫做“Deepwater Horizon”，深海地平线，是那座钻井平台的名字，这个译名也无可厚非。但还是要吐槽一下，西方灾难电影在内地的译名其实都不算太好，之前《危情时速》《末日崩塌》《不惧风暴》之类的，听上去跟山寨片一样。相比之下，《深海浩劫》算好的了。言归正传，片名一般，但电影很好。来自于真实事件改编，2010年4月20日发生爆炸并沉没，11人丧生，一个月内整个墨西哥湾几乎被浮油覆盖，导致 英国石油公司损失300多亿美元。这部《深海浩劫》描述的就是这段故事。真实OR俗套？由于本片改编自真实事件，对于剧本的拿捏程度自然要轻松不少。照着当时事件发展路线，再融入一些家庭个人因素加以润滑，便是典型的商业片路线。如果本片的剧情放在一部成龙式电影当中只不过是让英雄大显身手的一个好机会而已，但本片“有史考究”的前提限定了本片的题材，所以说也别想着有什么云霄飞车或者飞檐走壁的大侠现身之类的夸张情节出现，英雄主义和“最后一秒拯救”大法不太适用于这类灾难电影。这就是基于真实事件灾难电影与原创的灾难电影之间不同的地方，你们可以说某某灾难片俗套，但诸如《危情时速》以及《深海浩劫》，是与俗套不沾边的，因为再离谱或再循规蹈矩的故事，也是来源于真实的故事。但这种灾难片也有一个很难攻关之处，因为在电影结局早已注定，让整部电影缺少了生死存亡的悬念，这需要考验到导演在叙事方面的张力。然而《深海浩劫》的观影过程实在令人惊心动魄，在这一点上彼得·伯格的标志性的拍摄手法了大用场。气氛渲染的功劳彼得·伯格是一个很会拍真实事件的导演，与小马哥合作了三部电影都是真实事件改编，《孤独的幸存者》、《深海浩劫》还有未来改编自马拉松爆炸案的《爱国者日》。比起保罗·格林格拉斯（《谍影重重》）的记录片式表现手法，这位导演的风格更加向好莱坞主流商业电影模式考虑，即“气氛性渲染”。、他之前那部《孤独的幸存者》就是如此，观众都知道这一小队最后只有马克·瓦尔伯格活了下来，但在观影中依然惊心动魄。彼得·伯格这种手法，就是用故事情节和角色刻画对即将到来的事件做铺垫，随后再利用剪辑和摄影手法调动观众胃口，烘托整个事件的气氛。《深海浩劫》也是一样，电影用了半个多小时的时间对即将到来的危机进行铺垫。而且比起灾难场面来临之后的视觉冲击，电影最好看的地方，当属负压测试到井喷前夕这段故事，大约半个小时的时间。用画面调动和情节推进，将即将到来的危机渲染的极为揪心，好几次都以为灾难来临，但转头来还是暴风雨前的宁静，负压测试中，环境音效效果突出，所有人都屏住呼吸，紧张的气息呼之欲出。与此同时，摄影机采用大量的仰拍画面来展示钻井平台硕大的身躯和狰狞的一面，此种做法让人似乎感觉到了这个金属巨怪强大的气场和山雨欲来的压抑气氛。而爆炸来临之后，又利用大量俯拍来展现灾难现场的宏观场面，两种不同摄影方法的对比无疑烘托出钻井平台一静一动时截然不同的两面，就像一只怪兽，吐出嚣张的火焰！导演的叙事手法和电影的技术手段为这个真实事件改编的故事更增添了一份紧张气息，显得夸大而不夸张。好莱坞的游戏规则《深海浩劫》可以称得上是一部灾难片，没有天灾，只有人祸，包括约翰·马尔科维奇饰演的石油公司高官，在利益和上层压力的基础上忽略安全环节等等。作为事件性作品，本片也不像《迫降航班》那样专注于灾难之后的物是人非，本片在人物方面并无过多笔墨。有意思的是，比较突出的一个噱头，就是对主角家人的塑造。还记得《勇闯夺命岛》和《世界末日》中，在事件发展中安插了主角妻儿的角色，比如《世界末日》里在航天中心与父亲对话的丽芙泰勒。这样的做法使得主人公的一举一动都牵挂着其家人的心，也为电影增添了一丝人文色彩。《深海浩劫》同样如此，都是好莱坞拍摄技巧的常规选项。而且本片除了还原真实事件外，也有遵循好莱坞的游戏规则，将马克·瓦尔伯格饰演主角，个人身上的英雄主义刻意的放大。于是我们看到了攸关之际“你跳我也跳”的场面。所以别看《深海浩劫》的故事源自真实事件，但实际上本片还是一部典型的好莱坞工业产品，情节紧张，英雄主义，还有最后一刻的圆满结局。电影的故事就是顺水推舟的发展而下，我们所要关注的就是在有限的时间内去还原一个事件发展的过程，电影的铺垫还是略显过长。说道这里，想起了另一位很会烘托气氛的商业导演，已故的托尼·斯科特，他是一个将好莱坞电影工业吃透的牛人。后者的《危情时速》是我看过最扣人心弦的真实事件灾难电影。假如《深海浩劫》交给托尼·斯科特的话，效果又会怎样呢？PS，如果不懂油井术语不清楚灾难如何发生，开场可乐喷发那段一定不要错过，起到了解释说明的目的，真是面面俱到。PSS，作为电影的发生地，路易斯安那州，电影前半段展示了著名的阿查法拉亚盆地的美景，航拍之下的沼泽湿地，非常美丽。然而现实情况是，就是由于石油开采，让盆地三角洲地带割得支离破碎，墨西哥湾的海水长驱而入，在不远的将来，这里将不复存在。
      ",推荐,乌鸦火堂,有用 33,没用 3,https://movie.douban.com/review/8176502/,水深火热！带你领略好莱坞电影工业手法的精华,https://www.douban.com/people/dreamfox/
"
        1、男主并不是安全主管，只是电子工程师，对平台很熟悉，负责各种设备检修保养。片中他没有参与任何安全直接相关的重大监测和决策、操作，也没有“一票否决权”。2、男主说“你刚好装够降落的汽油，不是聪明办法。是用希望当作策略”，意思是“安全保障必须留足余量，不能刚刚够。不能指望于理想值，要有更坏打算。”这个意思不是描述平台的现状很糟糕，而是说保障措施应该做更多。反方的BP人员意思是已经做得够多了。3、片中显然将BP人员描述为反角，强行推进进度。真实情况并非如此简单。安全保障和进度永远是一对矛盾，此消彼长，任何行业的任何操作，都要选取合适的边界，无限度的安全保障是没法干活的。打个比方，你出门上班有危险，但不可能像宇航员一样级别的防护。片中双方都有流程和安全意识，都能分析问题，只是判断有分歧而已。片尾的旁述“对BP督导员的过失致死指控，在5年后全部不成立”也证实了此点。4、并不是因为BP进度拖后才雇佣了平台，而是BP雇佣了平台，平台没赶上进度。这个逻辑很重要，解释了为什么BP要催进度，有助于理解“谁是好人谁是坏人”。BP是勘探、选点、设计、发包方，平台只是租用的施工方，执行进度。催促进度当然是合理的。当然，没做固井水泥测试是个错误，但这不是整个事故的原因。事实上，他们争吵之后完成了这个测试，只是双方对测试结果都判断错误了。如果认为没做这个测试，那就是没看懂。5、如果非要找出一个“安全主管”，BP人员更符合这个身份，他们相当于这个平台的监理。6、“油气和发动机摩擦，造成了第三次爆炸”——这个说法显然没有一点工科常识——应该是油气通过通风管道进入走廊，进入发动机房，进入发动机的燃烧室，正常的空气变成了油气，引起发动机爆炸。并不存在什么“和发动机摩擦”。片中有很长的几个镜头，交代了油气经过进气管道、走廊、发动机房、空气过滤器、水套温度和压力读数飙升、多缸发动机的缸盖外观、燃烧室内部的活塞运动情况、最终爆炸。交代非常细致。我不是石油专业，也没看懂那个负压测试，但是大概情况应该是这样：管内读数有巨大压力1400磅，但是泥浆没有冒出来，这个压力可能是误报；于是做了一个制压线的测试，结果压力为0，判断是误报。于是放心抽取泥浆，抽完之后，原本被泥浆重量压在下面的石油喷了上来。——细看片中的情节，整个过程的最终决策是双方同意的，也是平台人员自己操作的，BP仅仅动嘴皮，并没有动手做什么，只是双方都判断错误了，那个压力读数是真实压力。BP唯一的错误是：抽完泥浆之后，关停了泵，1400磅压力仍然存在，这一刻，BP仍然认为是误报。注意：这一刻，润滑油已经冒上来，接着冒泥浆，接着冒石油，事实已经造成，无力回天。这一刻，不管谁的观念正确、错误，其实无关后果实。只是导演让BP背锅而已，这是导演的个人选择。为什么会发生所有人都误判压力读数呢？男主的作用就体现出来了，正是因为男主交代了平台有许多（390项）电子设备错误，所以这个1400磅的读数，很有可能是某个传感器错误。这就是前面铺垫了男主对电子设备无所不晓的意义所在。
      ",推荐,装泥,有用 9,没用 1,https://movie.douban.com/review/8309762/,“BP赶进度”是背锅侠，真正原因不是没做测试而是管理不善,https://www.douban.com/people/37878102/
,力荐,请回答2016,有用 6,没用 0,https://movie.douban.com/review/8184135/,还海洋一份安全，给人类一条生路。,https://www.douban.com/people/pinky2016/
"
        
      ",推荐,叶子狐,有用 1,没用 0,https://movie.douban.com/review/8358892/,让人提心吊胆的悬念是怎么制造出来的？,https://www.douban.com/people/yeyueyue/
"
        电影还原了墨西哥湾的那场灾难，也成功再现了当时惨烈的场景，但是电影并没有表现出想要表达的意思，更没有真正的将主角的作用发挥出来，仅仅以马克.沃尔伯格为切入点来引入故事，显然没有表现出多大的意义。就是这种毫无重点没有剧情的设置，让电影给人的感觉十分混乱，尤其是马克.沃尔伯格所引入的家庭元素，几乎没有发挥什么作用，更没有突出什么家庭观念与情怀，毫无重点的叙述故事让电影缺失了价值观与是非观的营造，电影更像是为了展现灾难而故意添加进入的人物关系，也是因为如此，让电影难以找到重点更将剧情塑造的乏善可陈，不知何意。电影想要为我们追溯灾难造成的原因，另一方面也想将钻井平台工人们对于挽救这场事故所做的奋力抗争，只是片面的刻画出BP公司领导上层的巧舌如簧与平台工人们的极力抗争，显然有一种片面刻意的行为，尤其是当灾难发生了以后，所有的人员都乱作了一团，没有什么人与人之间惊心动魄的故事，更没有什么值得讨论与话题性的行为，仅仅突出了那种个人英雄主义的行为，让人难以看到影片当中那种发光发热的地方。电影一开始就咄咄逼人的用一种横加干涉的方式来指责公司将前来检验的人员撤离的行为，从主观上已经造成了一切原因都是公司高层的错误行为所造成的，而当后续情节展开的时候依然能够让我们感受到强烈的主观意图在里面，让个人感情的发泄完全渗透到了电影里面，这样的做法显然只能证明导演是有意的将自己认为谁对谁错的观点强加进去，也就忽视了我们用客观的角度来看待这样一场事故，不得不说导演的这种做法太过偏激。作为电影的主角马克.沃尔伯格显然没有作为第一主线的存在，更没有发挥出力挽狂澜的作用，他并没有真正的成为电影的核心，反而变成了一个支线的存在，就是电影没有真正的选准主线的存在，于是就随便找了一个可以彰显个人英雄主义的人物来担当主角，而至于所谓发生整个灾难事故的过程，并没有真正的找准人物去进行叙述。唯一一个能够切入整个事件核心的公司高层约翰.马尔科维奇，显然已经将他作为反派一样的人物存在，也就很难在故事上以他为人物重点，于是乎在整场灾难来临的时候，就像电影当中表现的一样，约翰.马尔科维奇在事发现场被喷满泥浆，而马克.沃尔伯格则还在卧室和妻子正在视频聊天，则至于由老戏骨迪伦.欧布莱恩扮演的站长则还在澡堂里面洗澡，如此人物环境所在位置的确定，就已经证明了三个人的角色地位的重要性，如此再来一看，电影选择了一种以主观形式叙述的表述方式显然将电影的剧情带入了一种万劫不复的境界里去。没有人发现了灾难的产生，也没有人阻止灾难的产生，更没有人能看出灾难的产生，但导演却一边倒的营造出来灾难的产生是因为公司高层的决策造成的，可是灾难产生的时候正是在做质量检测的时候，这个时候出问题并不能胡乱的指责到底是谁犯的错，就是因为导演用一种过于主观的思想，让我们看不到了事实的真相。电影虽然没有为我们营造出来一个扣人心弦的好故事，但是整个场面营造与调度的却是恰到好处，正是应了那句话，剧情不够场面来凑，没错的，导演似乎也发现了这一点，于是为我们营造出来了一个既壮观又惨烈的这样一个灾难场景。在这个场景当中，电影全面的展现出来各种惨烈壮观的灾难奇观，不但让人感受到在灾难当中的无能为力，也突出了人性中那善良又伟大的举动，面对灾难时的人们呈现出来的样子才是最真实的自己，能够选择帮助别人更是人性中所展现出来的最美好的东西。于是，在经过前一段时间温吞如水不温不火的苍白表述之后，在电影的后半节彻底的大爆发，用场景来震撼我们的心灵。只是在这种灾难片中始终少不了主角光环的英勇救人行为的出现，不知道这种情节是不是真实情况下真实发生的故事，但在我们眼中看来，这种狗血的救人模式实在有点老套陈旧与太过平凡，在经过一场轰轰烈烈的场面描写以后还要在最后的时候在看这个，让人感觉很扫兴。作为一部由真实事件改编的电影，追求当然是越真实越好，只可惜对于这部电影而来，真实事件改编很显然只是一个幌子，剧情人物改编给人的感觉反差实在是太大了，正面人物形象过度正面，反面形象又过度反面，总感觉电影当中弥漫着相当强烈的个人情绪，那种指责式的描述手法呼之欲出。这一点明显没有真正的正视灾难所带给人们的不幸与痛苦，一味的指责式的描述只能引发人与人之间的仇恨与对企业管理的不满，而我们真正讨论与再现的是整个事件发生所引发的原因与带给我们的警示与思考，而导演挑起战争的这种做法相当的不可取。这也是一部马克.沃尔伯格最没有主角光环的电影，电影里面的他可有可无，几乎就是一个打酱油的角色，一点分量都没有，除了在一个重要的场合发表了一些专业观点以后，电影的其他部分就几乎是一个路人甲了，不但没有引导什么剧情内容，还过度的将家庭戏份分散了电影的剧情主线，这种故意渲染与煽情的人物在这部以灾难为主的电影中显得格格不入，而且对于马克.沃尔伯格来讲，充其量只是电影当中的一个小角色，分分钟远离电影的核心内容，更与故事发生的重点沾不上边，这种丝毫没有什么存在感的角色怎么可能在电影中得到人们的重视？这也让他成为了最没有什么存在感的男主角。
      ",还行,王廿,有用 1,没用 0,https://movie.douban.com/review/8276818/,《深海浩劫》：缺乏内涵但场面壮观,https://www.douban.com/people/80689279/
,还行,Luc,有用 8,没用 1,https://movie.douban.com/review/8180224/,论生产安全的重要性,https://www.douban.com/people/LucFrance/
,力荐,Chris尧,有用 5,没用 0,https://movie.douban.com/review/8187074/,所有海洋工程人的教学片,https://www.douban.com/people/56732822/
,较差,stonerao,有用 6,没用 13,https://movie.douban.com/review/8180088/,几乎就是一部安全教育纪录片！,https://www.douban.com/people/139231842/
"
        《深海浩劫》根据2010年美国墨西哥湾原油泄漏事件改编，电影表现的四平八稳。除了塑造了比较倔强的领队老头，其他人物依然是我们熟悉的美国家庭，熟悉的美国员工间打屁闲扯。对于灾难的反思通过平台领队老头与公司领导的争执统一体现出来，指责因为利益而忽视安全的行为。开篇导演运用了不太高明的方式，通过男主女儿的嘴巴，巴拉巴拉的介绍了男主的工作，还顺带介绍了深海钻台的原理以及危险性，一瓶爆喷的可乐演示了后面的灾难。这一幕很是生硬，家庭中的对话都是这样的学术探究吗？后面灾难发生时的场面还是非常的震撼的，反正我们国产片是拍不出来的。关于灾难的过程几乎就是展示，展示，展示。涉及到人心理的层面反而有些薄弱。故事推进的过程中，出现了一些不详的征兆，比如飞机撞到鸟。这种桥段都过于照搬。危机一触即发，而办公室里在欢庆连年安全第一的荣誉，这种反讽也略显低级。莫名其妙的欢庆什么安全只是为了让观者撇一撇嘴而已，所以电影运用了很多套路，缺少新意，是一部真正的好莱坞流水线上拼接出来的作品。此类美式大片因其场面震撼还是会引来关注，又因为还是几十年不变的味道而会让中国观众略感乏味，票房大卖显然不太现实。预计大陆票房1到2亿人民币吧。
      ",较差,亮石头,有用 5,没用 5,https://movie.douban.com/review/8179045/,中规中矩的灾难片,https://www.douban.com/people/luhongchuan/
